Goals Per Game,Shots Per Game,Saves Per Game,Total Matches,Shot Accuracy,Goals/Saves,Total Goals,Total Wins,Total Assists,Total MVP,Total Saves,Actual_Rank
6.0,8.33,2.0,9,0.72,3.0,19528,8759,9454,3648,18492,2
5.0,11.43,6.29,21,0.43799999999999994,0.8,2005,574,727,312,2181,2
5.22,9.48,2.93,81,0.551,1.78,27908,9484,8450,4792,20628,2
5.06,9.65,3.91,102,0.524,1.29,11312,4041,5034,1871,12193,2
6.09,10.0,2.36,33,0.609,2.58,19778,6859,6210,3302,18005,2
4.67,7.67,1.33,9,0.609,3.5,34427,10009,9766,5896,23667,2
4.0,11.0,4.0,3,0.386,0.97,27908,9484,8450,4792,20628,2
4.5,8.83,6.0,18,0.509,0.75,32553,10199,10170,5102,27841,2
4.75,9.25,4.5,12,0.514,1.06,44595,15195,14469,8176,33804,2
6.4,10.7,3.3,30,0.598,1.94,8207,2259,2017,1519,9069,2
3.0,10.0,4.0,3,0.39899999999999997,0.95,27908,9484,8450,4792,20628,2
2.43,4.29,1.57,21,0.5670000000000001,1.55,11709,5135,5603,2226,13507,2
6.39,11.22,3.06,54,0.569,2.09,7994,3383,2566,1437,4721,2
2.0,4.2,2.4,15,0.47600000000000003,0.83,37572,15336,16244,7008,57529,2
5.75,11.25,3.5,12,0.511,1.64,57035,15258,14724,5274,52672,2
4.33,9.67,3.67,9,0.44799999999999995,1.18,33454,10779,11252,5035,23942,2
4.57,9.0,2.64,42,0.508,1.73,26561,9917,9755,3585,23831,2
4.4,10.2,1.8,15,0.431,2.44,13432,4657,5374,2225,12482,2
3.83,8.0,2.25,36,0.6,2.0,30030,12615,14203,4792,29898,2
7.0,12.5,3.0,12,0.56,2.33,36617,10433,9238,4287,28702,2
6.0,10.21,4.64,42,0.5870000000000001,1.29,1503,691,777,358,1932,2
4.24,7.4,2.96,75,0.573,1.43,28641,12789,14000,5433,34277,2
6.73,10.73,3.64,33,0.627,1.85,845,255,238,145,740,2
5.02,9.39,4.82,186,0.534,1.04,20113,7259,7919,3302,21288,2
21.0,64.0,26.0,3,0.42100000000000004,0.88,16444,5532,5211,2299,13906,2
8.0,12.0,2.0,3,0.667,4.0,73758,22687,26975,9835,72307,2
4.2,8.93,4.53,45,0.47,0.93,25995,7226,6793,2597,23692,2
5.09,8.81,3.06,141,0.5770000000000001,1.66,35422,8307,5137,2098,25745,2
4.38,7.76,3.29,63,0.564,1.33,17207,5805,6455,3066,18324,2
5.2,11.6,3.5,30,0.44799999999999995,1.49,16582,6359,5623,3349,13750,2
5.0,10.0,2.0,6,0.5,2.5,17677,4991,3907,2009,15395,2
4.78,9.56,4.56,27,0.5,1.05,37969,11032,9923,5436,43196,2
4.03,7.62,2.41,213,0.529,1.67,17129,6007,5263,2593,13182,2
4.0,12.0,2.0,3,0.36,1.12,37823,10276,10440,4585,30725,2
18.0,30.0,17.0,6,0.6,1.06,24792,9251,9091,4288,27569,2
6.88,11.62,3.88,24,0.591,1.77,21915,6548,5935,3776,16413,2
3.0,6.0,4.0,12,0.5,0.75,31108,10627,10693,4741,29488,2
6.67,10.67,3.33,9,0.625,2.0,10897,4115,4238,2268,10502,2
