Goals Per Game,Shots Per Game,Saves Per Game,Total Matches,Shot Accuracy,Goals/Saves,Total Goals,Total Wins,Total Assists,Total MVP,Total Saves,Actual_Rank
4.67,7.67,3.67,9,0.609,1.27,30183,11554,12852,5672,34737,2
10.0,19.22,5.78,27,0.52,1.73,5638,1180,571,519,3509,2
5.02,9.5,4.49,381,0.529,1.12,43168,16116,15092,8181,39636,2
5.86,10.11,4.0,108,0.58,1.47,2243,855,773,403,1935,2
5.84,9.16,2.16,38,0.638,2.71,398,111,94,61,417,2
5.43,8.71,2.71,21,0.623,2.0,19270,7116,7363,2868,17538,2
4.85,8.35,2.62,78,0.581,1.85,35057,6532,3128,1780,17451,2
4.93,9.29,4.64,84,0.531,1.06,23808,9386,8563,5648,22960,2
5.13,9.21,3.61,213,0.557,1.42,34630,7713,7454,3539,29957,2
6.1,12.1,3.8,30,0.504,1.61,4026,1322,1236,664,3341,2
5.2,10.6,6.2,15,0.667,0.67,23808,9386,8563,5648,22960,2
5.47,9.75,3.69,231,0.561,1.48,34630,7713,7454,3539,29957,2
3.12,6.06,2.53,51,0.515,1.23,42579,16446,17667,6531,42536,2
7.67,12.33,2.33,9,0.622,3.29,1115,240,225,135,660,2
5.26,9.4,4.43,105,0.5589999999999999,1.19,43168,16116,15092,8181,39636,2
4.73,8.83,3.14,414,0.536,1.5,34568,10660,9724,3764,34152,2
4.2,7.1,2.1,30,0.5920000000000001,2.0,43350,11690,7526,3838,24109,2
5.33,10.17,3.67,18,0.525,1.45,25925,8688,9956,4543,30436,2
4.75,8.8,2.16,402,0.54,2.2,11390,3565,3544,1601,7488,2
4.0,10.4,3.4,15,1.0,3.0,31320,6998,5101,2360,22825,2
4.67,10.22,3.0,27,0.457,1.56,10961,3201,2924,1529,10035,2
4.85,8.94,3.76,102,0.5429999999999999,1.29,25925,8688,9956,4543,30436,2
5.0,9.33,5.25,36,0.536,0.95,23808,9386,8563,5648,22960,2
7.2,11.2,3.8,15,0.643,1.89,10231,2777,1728,791,4403,2
6.38,10.38,2.88,24,0.614,2.22,16368,7061,8177,2760,17096,2
7.6,11.9,3.2,30,0.639,2.38,10231,2777,1728,791,4403,2
5.11,12.0,4.44,27,0.426,1.15,12113,4209,4421,2188,13923,2
5.0,9.35,3.86,147,0.535,1.3,17960,6615,7386,3972,16207,2
4.7,9.67,2.91,201,0.486,1.62,25023,9073,8299,5165,23342,2
5.0,5.5,2.5,6,0.909,2.0,29196,11453,13111,6485,37172,2
7.5,11.0,2.5,6,0.682,3.0,85084,21015,18672,9992,61269,2
4.0,12.0,5.0,3,0.3379999999999999,0.83,6339,2172,2199,1228,7017,2
5.06,10.71,2.18,51,0.473,2.32,47790,9062,5474,3641,29154,2
6.5,13.5,4.0,6,0.557,0.74,10017,3777,3377,1981,8643,2
6.29,12.13,4.06,93,0.519,1.55,37781,9251,5543,2619,26134,2
5.25,11.0,3.75,12,0.477,1.4,34055,12185,10951,6575,29989,2
4.67,10.0,6.33,9,0.6,3.0,27201,9101,8737,3585,32949,2
5.0,11.0,6.0,3,0.455,0.83,20434,9013,8958,4747,18804,2
1.0,4.33,1.33,9,0.231,0.75,1026,238,160,104,706,2
5.09,12.13,4.52,69,0.419,1.12,45423,14245,13003,7042,40071,2
5.5,9.5,4.0,18,0.579,1.38,7891,2354,2558,1205,7318,2
4.68,8.41,4.15,102,0.556,1.13,19071,7783,8206,3587,24680,2
3.76,7.18,2.59,51,0.636,2.33,33623,10317,9330,4348,31358,2
5.29,8.71,4.0,21,0.607,1.32,26589,9199,9735,5104,31398,2
9.0,16.0,1.0,3,0.562,9.0,50739,19767,20276,8356,49252,2
1.7,3.02,0.79,126,0.563,2.14,405,104,35,37,203,2
14.2,20.2,8.2,15,0.703,1.73,37769,8086,5691,2729,20572,2
6.2,10.9,6.0,30,0.569,1.03,19019,5792,4266,2703,12669,2
2.5,4.0,0.5,6,0.625,5.0,17977,6529,5913,3092,16260,2
8.0,12.0,5.0,3,0.667,1.6,19618,5917,5560,2788,13515,2
4.78,8.48,3.13,138,0.564,1.53,19083,4263,2506,1467,11124,2
9.0,12.0,7.0,3,0.75,1.29,26333,12647,12075,6088,26673,2
6.8,10.4,3.2,15,0.654,2.12,25674,8206,7889,4194,22752,2
6.0,15.0,3.33,9,0.455,1.0,11632,3924,3869,2419,8314,2
5.2,9.5,5.5,30,0.547,0.95,26333,12647,12075,6088,26673,2
1.0,4.0,1.0,3,0.5,0.5,31603,8680,6826,4121,30627,2
6.25,11.0,4.25,12,0.568,1.47,11531,4119,3415,1629,9036,2
4.0,5.0,3.33,9,0.8,1.2,18861,8355,8055,4275,17376,2
3.56,7.0,1.94,48,0.509,1.84,4967,1671,2205,867,5409,2
4.59,8.29,4.65,51,0.5529999999999999,0.99,25674,8206,7889,4194,22752,2
5.29,9.14,5.14,21,0.578,1.03,25674,8206,7889,4194,22752,2
