Goals Per Game,Shots Per Game,Saves Per Game,Total Matches,Shot Accuracy,Goals/Saves,Total Goals,Total Wins,Total Assists,Total MVP,Total Saves,Actual_Rank
3.89,7.82,2.93,84,0.498,1.33,10101,3537,3101,1981,7626,3
7.0,12.0,3.67,9,0.583,1.91,45389,16723,12871,6968,34059,3
4.62,7.92,2.46,39,0.583,1.88,45389,16723,12871,6968,34059,3
2.5,5.5,2.5,6,0.455,1.0,33553,12865,13088,5839,39125,3
5.69,10.38,4.54,39,0.5479999999999999,1.25,48585,15732,15723,7812,43550,3
5.0,9.29,3.0,28,0.5379999999999999,1.67,242,58,25,19,127,3
5.04,9.02,3.53,243,0.5579999999999999,1.43,32480,8081,6551,2399,25361,3
5.25,9.67,3.58,36,0.5429999999999999,1.47,32480,8081,6551,2399,25361,3
5.8,10.6,3.51,165,0.547,1.65,16254,4248,3699,2042,12832,3
5.7,10.9,4.21,420,0.523,1.35,53294,16094,16907,7695,59589,3
5.8,9.2,1.2,15,0.63,4.83,27035,11451,11745,4172,27642,3
5.46,9.93,3.83,207,0.55,1.43,24433,5076,3553,1607,17185,3
4.89,9.6,3.76,594,0.51,1.3,46588,13778,11650,4957,36124,3
3.32,6.16,2.03,93,0.539,1.63,579,184,114,92,331,3
6.0,12.0,3.5,6,0.5,1.71,72194,22535,25121,10852,73430,3
4.0,10.5,5.5,12,0.381,0.73,4658,1717,1356,860,3948,3
1.33,2.08,0.77,117,0.642,1.73,16609,5739,5591,2266,17426,3
2.5,4.5,1.0,6,0.556,2.5,25430,9535,10067,4371,37796,3
5.8,9.22,4.02,135,0.629,1.44,4658,1717,1356,860,3948,3
3.5,11.0,3.5,6,0.318,1.0,10981,4166,4190,1914,11282,3
6.33,11.17,5.67,18,0.5670000000000001,1.12,5263,2210,2326,703,5374,3
3.62,7.75,4.5,24,0.4679999999999999,0.81,48076,14028,11513,6732,36307,3
5.73,10.18,2.82,33,0.562,2.03,27035,11451,11745,4172,27642,3
4.67,11.67,2.67,9,0.462,1.0,28078,6676,5677,3518,24067,3
5.88,11.25,3.19,48,0.522,1.84,25617,8296,9270,4112,24267,3
6.0,11.67,5.33,9,0.514,1.12,4637,1980,1667,1069,3460,3
3.5,6.75,3.0,12,0.519,1.17,29846,9269,9298,4748,26144,3
5.64,9.73,3.36,33,0.579,1.68,19432,6279,6614,3018,24506,3
5.31,9.86,3.8,105,0.539,1.4,29846,9269,9298,4748,26144,3
6.23,10.08,4.19,78,0.618,1.49,23441,7677,7294,3157,16707,3
7.0,11.0,2.0,6,0.636,3.5,25673,7451,6160,4215,15813,3
8.0,13.67,6.0,9,0.585,1.33,23441,7677,7294,3157,16707,3
3.63,7.89,2.11,57,0.52,1.08,8629,2391,1573,944,4828,3
8.67,16.33,8.67,9,0.531,1.0,33873,11878,11541,5276,35540,3
3.88,8.38,4.75,24,0.4629999999999999,0.82,34985,12838,12893,5905,38299,3
4.58,7.75,3.08,36,0.591,1.49,33873,11878,11541,5276,35540,3
6.25,12.0,8.25,12,0.521,0.76,23819,7868,6774,5243,20355,3
5.67,11.67,4.33,18,0.486,1.31,41465,12598,12436,6156,45730,3
3.74,4.41,1.24,68,0.847,3.02,331,90,65,32,188,3
2.0,2.75,0.0,12,0.727,24.0,6586,2956,1730,1333,3637,3
6.42,12.06,2.87,93,0.532,2.24,41823,12683,13969,6480,35734,3
6.14,12.29,3.21,42,0.5,1.91,41823,12683,13969,6480,35734,3
5.17,9.17,3.83,18,0.564,1.35,38631,12877,11281,5454,25113,3
5.67,8.0,3.0,9,0.708,1.89,29846,9269,9298,4748,26144,3
4.49,8.24,3.05,264,0.545,1.47,2150,767,602,179,1231,3
5.14,9.43,4.14,21,0.545,1.24,20890,6053,6892,3227,20393,3
5.91,10.3,3.61,69,0.574,1.64,20890,6053,6892,3227,20393,3
6.11,10.0,3.53,57,0.611,1.73,796,182,152,105,448,3
5.4,9.04,3.88,75,0.597,1.39,7473,2335,2432,1005,5041,3
2.08,3.73,1.27,78,0.557,1.64,30211,13243,12792,4815,23073,3
5.0,9.57,4.29,21,0.522,1.17,30211,13243,12792,4815,23073,3
5.2,9.8,4.3,30,0.531,1.21,43201,15087,17343,8052,54781,3
4.67,7.89,6.11,27,0.5920000000000001,0.76,49190,16205,15064,7986,33941,3
4.3,8.04,2.98,399,0.535,1.44,33541,10845,10835,4335,33690,3
